"idcurt","namemun","votants17","Cs","JxCat","ERC","PSC","CatComu","CUP","PP","CodiComarca","NomComarca","partitmun","idmun","popmun","indepe17","noindepe17","votants15","indepe15","noindepe15","PtgCsMun","PtgJxCatMun","PtgERCMun","PtgPSCMun","PtgCatComuMun","PtgCUPMun","PtgPPMun","PtgIndepeMun","PtgNoIndepeMun","PtgIndepe15Mun","PtgNoIndepe15Mun","DifMun","Dif15Mun","CanviPastMun","BlocDifPastMun","CanviSenseSigneMun"
"17001","Agullana                                          ",494,63,161,168,26,16,37,7,2,"Alt Empordà                             ","ERC",170010,831,366,96,482,378,72,12.753036437247,32.5910931174089,34.0080971659919,5.26315789473684,3.23886639676113,7.48987854251012,1.417004048583,74.0890688259109,19.4331983805668,78.4232365145228,14.9377593360996,54.6558704453441,63.4854771784232,-8.82960673307911,"more pro-union",8.82960673307911
"17002","Aiguaviva                                         ",516,58,258,121,23,9,27,11,20,"Gironès                                 ","JxCat",170025,779,406,92,501,384,77,11.2403100775194,50,23.4496124031008,4.45736434108527,1.74418604651163,5.23255813953488,2.13178294573643,78.6821705426357,17.8294573643411,76.6467065868264,15.3692614770459,60.8527131782946,61.2774451097804,-0.424731931485866,"more pro-union",0.424731931485866
"17003","Albanyà                                           ",81,0,44,19,1,1,13,2,2,"Alt Empordà                             ","JxCat",170031,141,76,3,86,76,7,0,54.320987654321,23.4567901234568,1.23456790123457,1.23456790123457,16.0493827160494,2.46913580246914,93.8271604938272,3.7037037037037,88.3720930232558,8.13953488372093,90.1234567901234,80.2325581395349,9.89089865058855,"more pro-indy",9.89089865058855
"17004","Albons                                            ",458,36,209,140,20,13,29,4,10,"Baix Empordà                            ","JxCat",170046,769,378,60,449,352,67,7.86026200873363,45.6331877729258,30.5676855895196,4.36681222707424,2.83842794759825,6.33187772925764,0.873362445414847,82.5327510917031,13.1004366812227,78.3964365256125,14.9220489977728,69.4323144104804,63.4743875278396,5.95792688264072,"more pro-indy",5.95792688264072
"17005","Far d'Empordà, el                                 ",349,54,129,98,21,17,10,17,2,"Alt Empordà                             ","JxCat",170059,568,237,92,308,221,67,15.4727793696275,36.9627507163324,28.080229226361,6.01719197707736,4.87106017191977,2.86532951289398,4.87106017191977,67.9083094555874,26.3610315186246,71.7532467532468,21.7532467532468,41.5472779369627,50,-8.45272206303726,"more pro-union",8.45272206303726
"17006","Alp                                               ",940,110,376,277,52,24,60,19,15,"Cerdanya                                ","JxCat",170062,1499,713,181,903,685,168,11.7021276595745,40,29.468085106383,5.53191489361702,2.5531914893617,6.38297872340426,2.02127659574468,75.8510638297872,19.2553191489362,75.8582502768549,18.6046511627907,56.5957446808511,57.2535991140642,-0.65785443321316,"more pro-union",0.65785443321316
"17007","Amer                                              ",1514,124,934,257,55,34,73,26,34,"Selva                                   ","JxCat",170078,2242,1264,205,1459,1233,153,8.19022457067371,61.6908850726552,16.9749009247028,3.6327608982827,2.24570673712021,4.8216644649934,1.71730515191546,83.4874504623514,13.5402906208719,84.5099383139136,10.4866346812886,69.9471598414795,74.0233036326251,-4.07614379114555,"more pro-union",4.07614379114555
"17008","Anglès                                            ",3010,341,1586,602,152,76,163,57,34,"Selva                                   ","JxCat",170084,5479,2351,550,2876,2269,386,11.328903654485,52.6910299003322,20,5.04983388704319,2.52491694352159,5.41528239202658,1.8936877076412,78.1063122923588,18.2724252491694,78.894297635605,13.4214186369958,59.8338870431894,65.4728789986092,-5.6389919554198,"more pro-union",5.6389919554198
"17009","Arbúcies                                          ",3457,244,1670,889,152,91,308,65,34,"Selva                                   ","JxCat",170097,6427,2867,461,3411,2835,350,7.05814289846688,48.3077813132774,25.7159386751519,4.39687590396297,2.63234017934625,8.90945906855655,1.88024298524732,82.9331790569858,13.3352617876772,83.1134564643799,10.260920551158,69.5979172693087,72.8525359132219,-3.25461864391326,"more pro-union",3.25461864391326
"17010","Argelaguer                                        ",294,7,147,67,9,12,45,3,19,"Garrotxa                                ","JxCat",170101,423,259,19,292,251,15,2.38095238095238,50,22.7891156462585,3.06122448979592,4.08163265306122,15.3061224489796,1.02040816326531,88.0952380952381,6.46258503401361,85.958904109589,5.13698630136986,81.6326530612245,80.8219178082192,0.810735253005305,"more pro-indy",0.810735253005305
"17011","Armentera, l'                                     ",579,48,280,156,33,9,40,3,2,"Alt Empordà                             ","JxCat",170118,949,476,84,563,467,57,8.29015544041451,48.3592400690846,26.9430051813472,5.69948186528497,1.55440414507772,6.90846286701209,0.518134715025907,82.2107081174439,14.5077720207254,82.9484902309059,10.1243339253996,67.7029360967185,72.8241563055062,-5.12122020878775,"more pro-union",5.12122020878775
"17012","Avinyonet de Puigventós                           ",950,246,294,255,58,37,30,17,2,"Alt Empordà                             ","JxCat",170123,1565,579,321,914,561,281,25.8947368421053,30.9473684210526,26.8421052631579,6.10526315789474,3.89473684210526,3.15789473684211,1.78947368421053,60.9473684210526,33.7894736842105,61.3785557986871,30.7439824945295,27.1578947368421,30.6345733041575,-3.47667856731544,"more pro-union",3.47667856731544
"17013","Begur                                             ",2318,551,680,519,278,95,100,61,10,"Baix Empordà                            ","JxCat",170139,3933,1299,890,2206,1239,745,23.7704918032787,29.3356341673857,22.3899913718723,11.993097497843,4.0983606557377,4.31406384814495,2.63157894736842,56.0396893874029,38.3951682484901,56.1650045330916,33.7715321849501,17.6445211389129,22.3934723481414,-4.74895120922857,"more pro-union",4.74895120922857
"17014","Vajol, la                                         ",52,12,21,15,0,0,3,0,2,"Alt Empordà                             ","JxCat",170144,85,39,12,56,39,12,23.0769230769231,40.3846153846154,28.8461538461538,0,0,5.76923076923077,0,75,23.0769230769231,69.6428571428571,21.4285714285714,51.9230769230769,48.2142857142857,3.70879120879121,"more pro-indy",3.70879120879121
"17015","Banyoles                                          ",10686,971,5349,2481,476,303,750,221,28,"Pla de l'Estany                         ","JxCat",170157,19397,8580,1668,10190,8334,1282,9.0866554370204,50.0561482313307,23.2172936552499,4.45442635223657,2.83548568220101,7.01852891633914,2.06812652068127,80.2919708029197,15.6092083099382,81.7860647693818,12.5809617271835,64.6827624929815,69.2051030421982,-4.52234054921678,"more pro-union",4.52234054921678
"17016","Bàscara                                           ",642,60,293,168,28,15,54,20,2,"Alt Empordà                             ","JxCat",170160,989,515,108,610,473,99,9.34579439252336,45.6386292834891,26.1682242990654,4.3613707165109,2.33644859813084,8.41121495327103,3.11526479750779,80.2180685358256,16.8224299065421,77.5409836065574,16.2295081967213,63.3956386292835,61.3114754098361,2.08416321944743,"more pro-indy",2.08416321944743
"17018","Bellcaire d'Empordà                               ",424,41,185,123,21,11,34,6,10,"Baix Empordà                            ","JxCat",170182,668,342,68,418,338,51,9.66981132075472,43.6320754716981,29.0094339622642,4.95283018867925,2.59433962264151,8.0188679245283,1.41509433962264,80.6603773584906,16.0377358490566,80.8612440191388,12.200956937799,64.622641509434,68.6602870813397,-4.03764557190574,"more pro-union",4.03764557190574
"17019","Besalú                                            ",1570,101,937,326,76,37,59,18,19,"Garrotxa                                ","JxCat",170195,2443,1322,195,1507,1273,153,6.43312101910828,59.6815286624204,20.7643312101911,4.84076433121019,2.35668789808917,3.75796178343949,1.14649681528662,84.203821656051,12.4203821656051,84.4724618447246,10.1526211015262,71.7834394904459,74.3198407431984,-2.53640125275254,"more pro-union",2.53640125275254
"17020","Bescanó                                           ",3205,305,1664,735,137,90,207,28,20,"Gironès                                 ","JxCat",170209,4929,2606,470,3058,2490,348,9.51638065522621,51.9188767550702,22.9329173166927,4.27457098283931,2.80811232449298,6.45865834633385,0.873634945397816,81.3104524180967,14.6645865834633,81.4257684761282,11.3799869195553,66.6458658346334,70.0457815565729,-3.39991572193952,"more pro-union",3.39991572193952
"17021","Beuda                                             ",111,0,45,22,14,4,25,1,19,"Garrotxa                                ","JxCat",170216,181,92,15,114,95,14,0,40.5405405405405,19.8198198198198,12.6126126126126,3.6036036036036,22.5225225225225,0.900900900900901,82.8828828828829,13.5135135135135,83.3333333333333,12.280701754386,69.3693693693694,71.0526315789474,-1.68326220957802,"more pro-union",1.68326220957802
"17022","Bisbal d'Empordà, la                              ",5688,739,2157,1457,482,207,415,135,10,"Baix Empordà                            ","JxCat",170221,10775,4029,1356,5362,3804,1173,12.9922644163151,37.92194092827,25.6153305203938,8.47398030942335,3.63924050632911,7.29606188466948,2.37341772151899,70.8333333333333,23.8396624472574,70.9436777321895,21.8761656098471,46.993670886076,49.0675121223424,-2.07384123626645,"more pro-union",2.07384123626645
"17023","Blanes                                            ",21421,6458,4007,3872,3266,1743,696,845,34,"Selva                                   ","Cs",170237,38813,8575,10569,20267,8110,8641,30.1479856215863,18.7059427664441,18.0757200877643,15.2467205079128,8.13687502917698,3.24914803230475,3.94472713692171,40.0308108865132,49.3394332664208,40.0157892139932,42.6358119109883,-9.30862237990756,-2.62002269699511,-6.68859968291245,"more pro-union",6.68859968291245
"17024","Bolvir                                            ",229,34,107,43,13,4,14,9,15,"Cerdanya                                ","JxCat",170242,380,164,56,225,168,30,14.8471615720524,46.7248908296943,18.7772925764192,5.67685589519651,1.74672489082969,6.11353711790393,3.93013100436681,71.6157205240175,24.4541484716157,74.6666666666667,13.3333333333333,47.1615720524017,61.3333333333333,-14.1717612809316,"more pro-union",14.1717612809316
"17025","Bordils                                           ",1023,94,524,207,49,33,95,12,20,"Gironès                                 ","JxCat",170255,1693,826,155,956,792,113,9.18866080156403,51.2218963831867,20.2346041055718,4.78983382209189,3.2258064516129,9.28641251221896,1.17302052785924,80.7429130009775,15.1515151515152,82.8451882845188,11.8200836820084,65.5913978494624,71.0251046025105,-5.4337067530481,"more pro-union",5.4337067530481
"17026","Borrassà                                          ",477,65,258,98,17,10,19,7,2,"Alt Empordà                             ","JxCat",170268,715,375,89,466,376,62,13.6268343815514,54.0880503144654,20.5450733752621,3.56394129979036,2.09643605870021,3.9832285115304,1.46750524109015,78.6163522012579,18.6582809224319,80.6866952789699,13.3047210300429,59.958071278826,67.381974248927,-7.42390297010104,"more pro-union",7.42390297010104
"17027","Breda                                             ",2486,238,939,831,167,66,151,61,34,"Selva                                   ","JxCat",170274,3740,1921,466,2366,1798,415,9.57361222847948,37.7715205148833,33.4271922767498,6.71761866452132,2.65486725663717,6.07401448109413,2.45374094931617,77.2727272727273,18.744971842317,75.9932375316991,17.5401521555368,58.5277554304103,58.4530853761623,0.0746700542480028,"more pro-indy",0.0746700542480028
"17028","Brunyola                                          ",251,15,149,53,7,9,13,3,34,"Selva                                   ","JxCat",170280,369,215,25,243,213,16,5.97609561752988,59.3625498007968,21.1155378486056,2.78884462151394,3.58565737051793,5.1792828685259,1.19521912350598,85.6573705179283,9.9601593625498,87.6543209876543,6.5843621399177,75.6972111553785,81.0699588477366,-5.37274769235813,"more pro-union",5.37274769235813
"17029","Boadella i les Escaules                           ",173,27,59,49,8,8,15,3,2,"Alt Empordà                             ","JxCat",170293,267,123,38,163,122,27,15.606936416185,34.1040462427746,28.3236994219653,4.6242774566474,4.6242774566474,8.67052023121387,1.73410404624277,71.0982658959538,21.9653179190751,74.8466257668712,16.5644171779141,49.1329479768786,58.2822085889571,-9.14926061207845,"more pro-union",9.14926061207845
"17030","Cabanes                                           ",519,122,187,98,36,13,30,24,2,"Alt Empordà                             ","JxCat",170307,903,315,182,511,320,162,23.5067437379576,36.0308285163777,18.8824662813102,6.9364161849711,2.50481695568401,5.78034682080925,4.6242774566474,60.6936416184971,35.0674373795761,62.6223091976517,31.7025440313112,25.626204238921,30.9197651663405,-5.2935609274195,"more pro-union",5.2935609274195
"17031","Cabanelles                                        ",152,11,70,33,2,3,26,5,2,"Alt Empordà                             ","JxCat",170314,265,129,18,132,112,14,7.23684210526316,46.0526315789474,21.7105263157895,1.31578947368421,1.97368421052632,17.1052631578947,3.28947368421053,84.8684210526316,11.8421052631579,84.8484848484848,10.6060606060606,73.0263157894737,74.2424242424242,-1.21610845295055,"more pro-union",1.21610845295055
"17032","Cadaqués                                          ",1307,168,498,366,111,69,61,13,2,"Alt Empordà                             ","JxCat",170329,2794,925,292,1249,924,211,12.8538638102525,38.1025248661056,28.0030604437643,8.49273144605968,5.27926549349656,4.66717674062739,0.994644223412395,70.7727620504973,22.3412394797246,73.9791833466773,16.8935148118495,48.4315225707728,57.0856685348279,-8.6541459640551,"more pro-union",8.6541459640551
"17033","Caldes de Malavella                               ",4440,978,1489,923,405,243,208,121,34,"Selva                                   ","JxCat",170335,7351,2620,1504,4068,2421,1215,22.027027027027,33.536036036036,20.7882882882883,9.12162162162162,5.47297297297297,4.68468468468468,2.72522522522523,59.009009009009,33.8738738738739,59.5132743362832,29.8672566371681,25.1351351351351,29.646017699115,-4.5108825639799,"more pro-union",4.5108825639799
"17034","Calonge                                           ",5658,1185,1875,1315,559,238,228,150,10,"Baix Empordà                            ","JxCat",170340,10804,3418,1894,5179,3185,1542,20.9437963944857,33.1389183457052,23.2414280664546,9.87981618946624,4.20643336868151,4.02969247083775,2.65111346765642,60.4100388829975,33.4747260516083,61.4983587565167,29.7740876617108,26.9353128313892,31.7242710948059,-4.78895826341675,"more pro-union",4.78895826341675
