id,name,abbr,pop,partit,PtgCs,PtgJxCat,PtgERC,PtgPSC,PtgCatComu,PtgCUP,PtgPP,PtgIndepe,PtgNoIndepe,Dif,CanviPast,BlocDifPast,CanviSenseSigne
01,Alt Camp                                ,Alt Camp                                ,43995,JxCat,19.71,30.81,25.03,9.59,4.28,5.44,3.37,61.27,32.67,28.6,-3.96,more pro-union,3.96
02,Alt Empordà                             ,A E,139705,JxCat,24.57,30.52,22.14,8.62,3.91,4.59,3.75,57.25,36.93,20.31,-6.03,more pro-union,6.03
03,Alt Penedès                             ,A P,106930,JxCat,17.51,30.1,25.28,10.28,5.73,6.36,2.99,61.74,30.78,30.96,-3.57,more pro-union,3.57
04,Alt Urgell                              ,Alt Urgell                              ,20296,JxCat,15.37,34.15,26.16,9.51,3.52,5.7,4.12,66.01,29,37.01,-5.2,more pro-union,5.2
05,Alta Ribagorça                          ,Alta Ribagorça                          ,3827,ERC,15.44,24.88,26.74,13.93,7.07,7.5,2.5,59.12,31.87,27.25,-0.38,more pro-union,0.38
06,Anoia                                   ,A,118277,JxCat,24.53,24.6,22.25,12.35,6.23,4.59,3.3,51.44,40.18,11.26,-4.67,more pro-union,4.67
39,Aran                                    ,Aran                                    ,9985,Cs,33.14,14.34,12.84,19.68,6.72,3.3,7.24,30.48,60.06,-29.57,-4.14,more pro-union,4.14
07,Bages                                   ,B,175095,JxCat,18.88,31.19,24.5,10.37,5.12,5.26,3.04,60.94,32.29,28.65,-3.71,more pro-union,3.71
08,Baix Camp                               ,B C,187471,Cs,30.07,22.35,21.42,10.92,4.73,4.24,4.41,48.01,45.4,2.61,-4.78,more pro-union,4.78
09,Baix Ebre                               ,BE,78180,ERC,15.16,28.27,33.16,9.03,4.46,3.96,4.18,65.39,28.37,37.03,3.48,more pro-indy,3.48
10,Baix Empordà                            ,B E,132906,JxCat,20.57,34.32,22.55,9.55,4.06,4.66,2.64,61.53,32.76,28.77,-4.82,more pro-union,4.82
11,Baix Llobregat                          ,B Ll,813996,Cs,31.54,11.3,18.72,19.2,9.66,3.04,4.24,33.06,54.98,-21.92,-4.15,more pro-union,4.15
12,Baix Penedès                            ,B P,100850,Cs,32.16,16.47,19.31,14.96,6.74,3.45,4.28,39.22,51.41,-12.19,-3.75,more pro-union,3.75
