"idmun","namemun","abbrmun","popmun","partitmun","PtgCsMun","PtgJxCatMun","PtgERCMun","PtgPSCMun","PtgCatComuMun","PtgCUPMun","PtgPPMun","PtgIndepeMun","PtgNoIndepeMun","DifMun","CanviPastMun","BlocDifPastMun","CanviSenseSigneMun"
"170010","Agullana                                          ","Agullana                                          ",831,"ERC",12.75,32.59,34.01,5.26,3.24,7.49,1.42,74.09,19.43,54.66,-8.83,"more pro-union",8.83
"170025","Aiguaviva                                         ","Aiguaviva                                         ",779,"JxCat",11.24,50,23.45,4.46,1.74,5.23,2.13,78.68,17.83,60.85,-0.42,"more pro-union",0.42
"170031","Albanyà                                           ","Albanyà                                           ",141,"JxCat",0,54.32,23.46,1.23,1.23,16.05,2.47,93.83,3.7,90.12,9.89,"more pro-indy",9.89
"170046","Albons                                            ","Albons                                            ",769,"JxCat",7.86,45.63,30.57,4.37,2.84,6.33,0.87,82.53,13.1,69.43,5.96,"more pro-indy",5.96
"170059","Far d'Empordà, el                                 ","Far d'Empordà, el                                 ",568,"JxCat",15.47,36.96,28.08,6.02,4.87,2.87,4.87,67.91,26.36,41.55,-8.45,"more pro-union",8.45
"170062","Alp                                               ","Alp                                               ",1499,"JxCat",11.7,40,29.47,5.53,2.55,6.38,2.02,75.85,19.26,56.6,-0.66,"more pro-union",0.66
"170078","Amer                                              ","Amer                                              ",2242,"JxCat",8.19,61.69,16.97,3.63,2.25,4.82,1.72,83.49,13.54,69.95,-4.08,"more pro-union",4.08
"170084","Anglès                                            ","Anglès                                            ",5479,"JxCat",11.33,52.69,20,5.05,2.52,5.42,1.89,78.11,18.27,59.83,-5.64,"more pro-union",5.64
"170097","Arbúcies                                          ","Arbúcies                                          ",6427,"JxCat",7.06,48.31,25.72,4.4,2.63,8.91,1.88,82.93,13.34,69.6,-3.25,"more pro-union",3.25
"170101","Argelaguer                                        ","Argelaguer                                        ",423,"JxCat",2.38,50,22.79,3.06,4.08,15.31,1.02,88.1,6.46,81.63,0.81,"more pro-indy",0.81
"170118","Armentera, l'                                     ","Armentera, l'                                     ",949,"JxCat",8.29,48.36,26.94,5.7,1.55,6.91,0.52,82.21,14.51,67.7,-5.12,"more pro-union",5.12
"170123","Avinyonet de Puigventós                           ","Avinyonet de Puigventós                           ",1565,"JxCat",25.89,30.95,26.84,6.11,3.89,3.16,1.79,60.95,33.79,27.16,-3.48,"more pro-union",3.48
"170139","Begur                                             ","Begur                                             ",3933,"JxCat",23.77,29.34,22.39,11.99,4.1,4.31,2.63,56.04,38.4,17.64,-4.75,"more pro-union",4.75
"170144","Vajol, la                                         ","Vajol, la                                         ",85,"JxCat",23.08,40.38,28.85,0,0,5.77,0,75,23.08,51.92,3.71,"more pro-indy",3.71
"170157","Banyoles                                          ","Banyoles                                          ",19397,"JxCat",9.09,50.06,23.22,4.45,2.84,7.02,2.07,80.29,15.61,64.68,-4.52,"more pro-union",4.52
"170160","Bàscara                                           ","Bàscara                                           ",989,"JxCat",9.35,45.64,26.17,4.36,2.34,8.41,3.12,80.22,16.82,63.4,2.08,"more pro-indy",2.08
"170182","Bellcaire d'Empordà                               ","Bellcaire d'Empordà                               ",668,"JxCat",9.67,43.63,29.01,4.95,2.59,8.02,1.42,80.66,16.04,64.62,-4.04,"more pro-union",4.04
"170195","Besalú                                            ","Besalú                                            ",2443,"JxCat",6.43,59.68,20.76,4.84,2.36,3.76,1.15,84.2,12.42,71.78,-2.54,"more pro-union",2.54
"170209","Bescanó                                           ","Bescanó                                           ",4929,"JxCat",9.52,51.92,22.93,4.27,2.81,6.46,0.87,81.31,14.66,66.65,-3.4,"more pro-union",3.4
"170216","Beuda                                             ","Beuda                                             ",181,"JxCat",0,40.54,19.82,12.61,3.6,22.52,0.9,82.88,13.51,69.37,-1.68,"more pro-union",1.68
"170221","Bisbal d'Empordà, la                              ","Bisbal d'Empordà, la                              ",10775,"JxCat",12.99,37.92,25.62,8.47,3.64,7.3,2.37,70.83,23.84,46.99,-2.07,"more pro-union",2.07
"170237","Blanes                                            ","Blanes                                            ",38813,"Cs",30.15,18.71,18.08,15.25,8.14,3.25,3.94,40.03,49.34,-9.31,-6.69,"more pro-union",6.69
"170242","Bolvir                                            ","Bolvir                                            ",380,"JxCat",14.85,46.72,18.78,5.68,1.75,6.11,3.93,71.62,24.45,47.16,-14.17,"more pro-union",14.17
"170255","Bordils                                           ","Bordils                                           ",1693,"JxCat",9.19,51.22,20.23,4.79,3.23,9.29,1.17,80.74,15.15,65.59,-5.43,"more pro-union",5.43
"170268","Borrassà                                          ","Borrassà                                          ",715,"JxCat",13.63,54.09,20.55,3.56,2.1,3.98,1.47,78.62,18.66,59.96,-7.42,"more pro-union",7.42
"170274","Breda                                             ","Breda                                             ",3740,"JxCat",9.57,37.77,33.43,6.72,2.65,6.07,2.45,77.27,18.74,58.53,0.07,"more pro-indy",0.07
"170280","Brunyola                                          ","Brunyola                                          ",369,"JxCat",5.98,59.36,21.12,2.79,3.59,5.18,1.2,85.66,9.96,75.7,-5.37,"more pro-union",5.37
"170293","Boadella i les Escaules                           ","Boadella i les Escaules                           ",267,"JxCat",15.61,34.1,28.32,4.62,4.62,8.67,1.73,71.1,21.97,49.13,-9.15,"more pro-union",9.15
"170307","Cabanes                                           ","Cabanes                                           ",903,"JxCat",23.51,36.03,18.88,6.94,2.5,5.78,4.62,60.69,35.07,25.63,-5.29,"more pro-union",5.29
"170314","Cabanelles                                        ","Cabanelles                                        ",265,"JxCat",7.24,46.05,21.71,1.32,1.97,17.11,3.29,84.87,11.84,73.03,-1.22,"more pro-union",1.22
"170329","Cadaqués                                          ","Cadaqués                                          ",2794,"JxCat",12.85,38.1,28,8.49,5.28,4.67,0.99,70.77,22.34,48.43,-8.65,"more pro-union",8.65
"170335","Caldes de Malavella                               ","Caldes de Malavella                               ",7351,"JxCat",22.03,33.54,20.79,9.12,5.47,4.68,2.73,59.01,33.87,25.14,-4.51,"more pro-union",4.51
"170340","Calonge                                           ","Calonge                                           ",10804,"JxCat",20.94,33.14,23.24,9.88,4.21,4.03,2.65,60.41,33.47,26.94,-4.79,"more pro-union",4.79
"170353","Camós                                             ","Camós                                             ",687,"JxCat",7.71,53.95,22.92,3.36,2.37,7.51,1.38,84.39,12.45,71.94,-4.44,"more pro-union",4.44
"170366","Campdevànol                                       ","Campdevànol                                       ",3243,"JxCat",13.59,39.48,27.58,5.84,4.01,4.9,2.67,71.97,22.1,49.87,-0.58,"more pro-union",0.58
"170372","Campelles                                         ","Campelles                                         ",135,"JxCat",4.3,65.59,12.9,0,4.3,6.45,6.45,84.95,10.75,74.19,-14.94,"more pro-union",14.94
"170388","Campllong                                         ","Campllong                                         ",525,"JxCat",7.53,56.93,19.28,2.71,4.52,3.92,3.01,80.12,13.25,66.87,-1.11,"more pro-union",1.11
"170391","Camprodon                                         ","Camprodon                                         ",2214,"JxCat",9.61,52.42,20.04,7.43,2.66,5.52,1.57,77.98,18.61,59.37,-2.16,"more pro-union",2.16
"170405","Canet d'Adri                                      ","Canet d'Adri                                      ",703,"JxCat",5.99,54.89,18.36,3.19,2.99,11.38,1.6,84.63,10.78,73.85,-2.56,"more pro-union",2.56
"170412","Cantallops                                        ","Cantallops                                        ",322,"ERC",8.06,30.11,39.25,6.99,5.38,6.45,2.15,75.81,17.2,58.6,-7.14,"more pro-union",7.14
"170427","Capmany                                           ","Capmany                                           ",623,"JxCat",14.29,45.77,25.36,4.66,3.79,3.79,1.75,74.93,20.7,54.23,3.45,"more pro-indy",3.45
"170433","Queralbs                                          ","Queralbs                                          ",176,"JxCat",6.52,52.17,25.36,3.62,1.45,7.25,2.17,84.78,12.32,72.46,-5.15,"more pro-union",5.15
"170448","Cassà de la Selva                                 ","Cassà de la Selva                                 ",10231,"JxCat",13.23,46.06,22.78,6.48,3.19,5.06,1.83,73.89,21.54,52.35,-5.52,"more pro-union",5.52
"170464","Castellfollit de la Roca                          ","Castellfollit de la Roca                          ",951,"JxCat",9.87,41.26,30.26,5.02,2.59,5.83,2.27,77.35,17.15,60.19,-3.83,"more pro-union",3.83
"170470","Castelló d'Empúries                               ","Castelló d'Empúries                               ",10791,"Cs",29.11,28.32,19.91,8.55,3.76,3.87,4.71,52.1,42.37,9.72,-6.87,"more pro-union",6.87
"170486","Castell-Platja d'Aro                              ","Castell-Platja d'Aro                              ",10593,"JxCat",27.69,32.21,16.54,11.67,3.83,2.38,3.63,51.13,42.98,8.15,-5.62,"more pro-union",5.62
"170499","Celrà                                             ","Celrà                                             ",5376,"JxCat",14.1,35.21,23.21,7.51,3.59,13.71,1.34,72.12,22.95,49.17,-4.57,"more pro-union",4.57
"170502","Cervià de Ter                                     ","Cervià de Ter                                     ",923,"JxCat",7.88,43.02,31.53,3.12,2.96,8.7,2.3,83.25,13.3,69.95,-0.7,"more pro-union",0.7
"170519","Cistella                                          ","Cistella                                          ",304,"JxCat",7.18,51.79,21.54,5.13,1.03,9.23,3.08,82.56,15.38,67.18,-1.84,"more pro-union",1.84
"170524","Siurana                                           ","Siurana                                           ",159,"JxCat",5.45,49.09,26.36,1.82,6.36,9.09,1.82,84.55,9.09,75.45,2.38,"more pro-indy",2.38
"170545","Colera                                            ","Colera                                            ",481,"JxCat",18.97,36.55,27.93,5.52,4.14,5.17,1.03,69.66,25.52,44.14,1.13,"more pro-indy",1.13
"170558","Colomers                                          ","Colomers                                          ",179,"JxCat",0,54.07,22.22,3.7,4.44,14.07,1.48,90.37,5.19,85.19,3.23,"more pro-indy",3.23
"170561","Cornellà del Terri                                ","Cornellà del Terri                                ",2280,"JxCat",7.4,56.48,20.42,3.99,1.96,6.41,1.96,83.31,13.35,69.96,-1.66,"more pro-union",1.66
"170577","Corçà                                             ","Corçà                                             ",1245,"JxCat",7.53,50,24.24,5.53,2.71,7.29,1.53,81.53,14.59,66.94,-2.75,"more pro-union",2.75
"170583","Crespià                                           ","Crespià                                           ",259,"JxCat",4.93,49.3,21.83,1.41,4.93,14.08,3.52,85.21,9.86,75.35,2.69,"more pro-indy",2.69
"170600","Darnius                                           ","Darnius                                           ",564,"JxCat",16.15,31.44,29.75,6.23,2.83,6.8,5.67,67.99,28.05,39.94,-1.57,"more pro-union",1.57
"170617","Das                                               ","Das                                               ",223,"JxCat",12.06,46.1,28.37,1.42,1.42,5.67,4.26,80.14,17.73,62.41,-6.93,"more pro-union",6.93
"170622","Escala, l'                                        ","Escala, l'                                        ",10407,"JxCat",20.99,33.92,20.29,8.93,5.72,5.64,2.42,59.85,32.35,27.5,-5.62,"more pro-union",5.62
"170638","Espinelves                                        ","Espinelves                                        ",203,"JxCat",3.27,49.02,28.76,1.96,0.65,13.07,1.31,90.85,6.54,84.31,0.98,"more pro-indy",0.98
"170643","Espolla                                           ","Espolla                                           ",423,"JxCat",15.44,34.9,22.82,10.4,2.01,9.06,3.36,66.78,29.19,37.58,-14.03,"more pro-union",14.03
"170656","Esponellà                                         ","Esponellà                                         ",432,"JxCat",4.73,56.36,21.09,2.55,4,9.82,0.73,87.27,8,79.27,-1.01,"more pro-union",1.01
